id,name,sku,barcode,description,price,stock_quantity,category_name
82,Large Coffee Powder,SKU-0082,1001001000082,Large Coffee Powder - A detailed description of the product.,8.09,119,Stationery
83,Premium Soap Bar,SKU-0083,1001001000083,Premium Soap Bar - A detailed description of the product.,11.07,179,Clothing
84,Eco-friendly Kitchen Towel,SKU-0084,1001001000084,Eco-friendly Kitchen Towel - A detailed description of the product.,27.96,28,Furniture
85,Budget Washing Powder,SKU-0085,1001001000085,Budget Washing Powder - A detailed description of the product.,39.06,139,Personal Care
86,Imported Body Wash,SKU-0086,1001001000086,Imported Body Wash - A detailed description of the product.,32.69,40,Stationery
87,Organic Coffee Powder,SKU-0087,1001001000087,Organic Coffee Powder - A detailed description of the product.,26.13,246,Personal Care
88,Eco-friendly Laptop Sleeve,SKU-0088,1001001000088,Eco-friendly Laptop Sleeve - A detailed description of the product.,26.07,179,Furniture
89,Organic Soap Bar,SKU-0089,1001001000089,Organic Soap Bar - A detailed description of the product.,39.28,324,Clothing
90,Imported Pack of Pens,SKU-0090,1001001000090,Imported Pack of Pens - A detailed description of the product.,40.66,144,Clothing
91,Budget Rice,SKU-0091,1001001000091,Budget Rice - A detailed description of the product.,40.87,339,Stationery
92,Small Laptop Sleeve,SKU-0092,1001001000092,Small Laptop Sleeve - A detailed description of the product.,28.68,33,Personal Care
93,Organic Shampoo,SKU-0093,1001001000093,Organic Shampoo - A detailed description of the product.,39.17,109,Groceries
94,Budget Soap Bar,SKU-0094,1001001000094,Budget Soap Bar - A detailed description of the product.,37.46,365,Home Essentials
95,High-Quality Toy Car,SKU-0095,1001001000095,High-Quality Toy Car - A detailed description of the product.,40.53,149,Clothing
96,Imported Kitchen Towel,SKU-0096,1001001000096,Imported Kitchen Towel - A detailed description of the product.,22.4,468,Stationery
97,Budget Sugar,SKU-0097,1001001000097,Budget Sugar - A detailed description of the product.,23.77,126,Stationery
98,Budget Notebook,SKU-0098,1001001000098,Budget Notebook - A detailed description of the product.,13.99,301,Clothing
99,Organic Rice,SKU-0099,1001001000099,Organic Rice - A detailed description of the product.,41.08,301,Furniture
100,Organic Desk Lamp,SKU-0100,1001001000100,Organic Desk Lamp - A detailed description of the product.,42.48,452,Electronics
101,High-Quality Batteries,SKU-0101,1001001000101,High-Quality Batteries - A detailed description of the product.,9.53,261,Stationery
102,Large LED Bulb,SKU-0102,1001001000102,Large LED Bulb - A detailed description of the product.,2.99,444,Clothing
103,Eco-friendly Toy Car,SKU-0103,1001001000103,Eco-friendly Toy Car - A detailed description of the product.,20.81,99,Groceries
104,Imported Kitchen Towel,SKU-0104,1001001000104,Imported Kitchen Towel - A detailed description of the product.,16.54,441,Electronics
105,Eco-friendly Energy Drink,SKU-0105,1001001000105,Eco-friendly Energy Drink - A detailed description of the product.,16.85,163,Personal Care
106,Small Laptop Sleeve,SKU-0106,1001001000106,Small Laptop Sleeve - A detailed description of the product.,29.35,261,Groceries
107,Eco-friendly Toy Car,SKU-0107,1001001000107,Eco-friendly Toy Car - A detailed description of the product.,8.58,166,Electronics
108,Premium LED Bulb,SKU-0108,1001001000108,Premium LED Bulb - A detailed description of the product.,10.45,391,Stationery
109,Large Orange Juice,SKU-0109,1001001000109,Large Orange Juice - A detailed description of the product.,45.79,280,Toys
110,Imported Soap Bar,SKU-0110,1001001000110,Imported Soap Bar - A detailed description of the product.,7.77,225,Personal Care
111,Eco-friendly Sugar,SKU-0111,1001001000111,Eco-friendly Sugar - A detailed description of the product.,36.24,76,Home Essentials
112,Premium LED Bulb,SKU-0112,1001001000112,Premium LED Bulb - A detailed description of the product.,41.4,61,Furniture
113,High-Quality Batteries,SKU-0113,1001001000113,High-Quality Batteries - A detailed description of the product.,17.83,259,Toys
114,Eco-friendly Cola,SKU-0114,1001001000114,Eco-friendly Cola - A detailed description of the product.,40.71,50,Personal Care
115,Premium USB Cable,SKU-0115,1001001000115,Premium USB Cable - A detailed description of the product.,7.34,472,Furniture
116,Eco-friendly LED Bulb,SKU-0116,1001001000116,Eco-friendly LED Bulb - A detailed description of the product.,7.26,397,Groceries
117,Premium Air Freshener,SKU-0117,1001001000117,Premium Air Freshener - A detailed description of the product.,27.98,341,Electronics
118,Eco-friendly Bread,SKU-0118,1001001000118,Eco-friendly Bread - A detailed description of the product.,31.11,26,Beverages
119,Large Floor Cleaner,SKU-0119,1001001000119,Large Floor Cleaner - A detailed description of the product.,37.24,467,Clothing
120,Organic Orange Juice,SKU-0120,1001001000120,Organic Orange Juice - A detailed description of the product.,23.02,472,Toys
121,Small Sugar,SKU-0121,1001001000121,Small Sugar - A detailed description of the product.,2.9,302,Beverages
122,Imported Toy Car,SKU-0122,1001001000122,Imported Toy Car - A detailed description of the product.,36.74,189,Clothing
123,Organic Toy Car,SKU-0123,1001001000123,Organic Toy Car - A detailed description of the product.,11.8,43,Stationery
124,High-Quality Notebook,SKU-0124,1001001000124,High-Quality Notebook - A detailed description of the product.,48.29,99,Home Essentials
125,Large Floor Cleaner,SKU-0125,1001001000125,Large Floor Cleaner - A detailed description of the product.,6.2,123,Beverages
126,Eco-friendly Cereal,SKU-0126,1001001000126,Eco-friendly Cereal - A detailed description of the product.,32.03,292,Furniture
127,Budget Smartphone Charger,SKU-0127,1001001000127,Budget Smartphone Charger - A detailed description of the product.,16.42,341,Stationery
128,Imported Butter,SKU-0128,1001001000128,Imported Butter - A detailed description of the product.,9.64,355,Electronics
129,Premium Orange Juice,SKU-0129,1001001000129,Premium Orange Juice - A detailed description of the product.,12.07,406,Groceries
130,Small Floor Cleaner,SKU-0130,1001001000130,Small Floor Cleaner - A detailed description of the product.,45.92,473,Beverages
131,Organic Toy Car,SKU-0131,1001001000131,Organic Toy Car - A detailed description of the product.,39.85,139,Beverages
132,Organic Floor Cleaner,SKU-0132,1001001000132,Organic Floor Cleaner - A detailed description of the product.,26.5,29,Toys
133,Large Toy Car,SKU-0133,1001001000133,Large Toy Car - A detailed description of the product.,22.13,385,Groceries
134,Eco-friendly Orange Juice,SKU-0134,1001001000134,Eco-friendly Orange Juice - A detailed description of the product.,19.68,161,Clothing
135,Budget Chocolate Bar,SKU-0135,1001001000135,Budget Chocolate Bar - A detailed description of the product.,25.41,315,Clothing
136,Imported Coffee Powder,SKU-0136,1001001000136,Imported Coffee Powder - A detailed description of the product.,8.71,295,Clothing
137,Budget Energy Drink,SKU-0137,1001001000137,Budget Energy Drink - A detailed description of the product.,26.67,139,Beverages
138,Budget Cereal,SKU-0138,1001001000138,Budget Cereal - A detailed description of the product.,13.03,393,Electronics
139,Budget LED Bulb,SKU-0139,1001001000139,Budget LED Bulb - A detailed description of the product.,13.26,314,Clothing
140,Imported Cola,SKU-0140,1001001000140,Imported Cola - A detailed description of the product.,26.67,347,Electronics
141,Premium Toy Car,SKU-0141,1001001000141,Premium Toy Car - A detailed description of the product.,19.1,215,Stationery
142,Organic Sugar,SKU-0142,1001001000142,Organic Sugar - A detailed description of the product.,7.29,371,Personal Care
143,High-Quality Chocolate Bar,SKU-0143,1001001000143,High-Quality Chocolate Bar - A detailed description of the product.,30.63,371,Stationery
144,Large Office Chair,SKU-0144,1001001000144,Large Office Chair - A detailed description of the product.,48.63,404,Home Essentials
145,Large Energy Drink,SKU-0145,1001001000145,Large Energy Drink - A detailed description of the product.,8.36,39,Home Essentials
146,Imported Kitchen Towel,SKU-0146,1001001000146,Imported Kitchen Towel - A detailed description of the product.,12.44,370,Stationery
147,Large Orange Juice,SKU-0147,1001001000147,Large Orange Juice - A detailed description of the product.,15.54,459,Furniture
148,Small LED Bulb,SKU-0148,1001001000148,Small LED Bulb - A detailed description of the product.,25.9,279,Stationery
149,Eco-friendly Laptop Sleeve,SKU-0149,1001001000149,Eco-friendly Laptop Sleeve - A detailed description of the product.,49.2,309,Home Essentials
150,Budget Water Bottle,SKU-0150,1001001000150,Budget Water Bottle - A detailed description of the product.,46.54,255,Groceries
151,Premium Kitchen Towel,SKU-0151,1001001000151,Premium Kitchen Towel - A detailed description of the product.,20.4,248,Stationery
152,Budget Soap Bar,SKU-0152,1001001000152,Budget Soap Bar - A detailed description of the product.,19.36,480,Beverages
153,Small Rice,SKU-0153,1001001000153,Small Rice - A detailed description of the product.,10.76,211,Home Essentials
154,Small Bread,SKU-0154,1001001000154,Small Bread - A detailed description of the product.,4.37,449,Stationery
155,Large Floor Cleaner,SKU-0155,1001001000155,Large Floor Cleaner - A detailed description of the product.,34.24,47,Home Essentials
156,Imported Hair Dryer,SKU-0156,1001001000156,Imported Hair Dryer - A detailed description of the product.,15.67,445,Furniture
157,Eco-friendly USB Cable,SKU-0157,1001001000157,Eco-friendly USB Cable - A detailed description of the product.,7.79,230,Stationery
158,Large Butter,SKU-0158,1001001000158,Large Butter - A detailed description of the product.,30.82,130,Clothing
159,High-Quality Milk,SKU-0159,1001001000159,High-Quality Milk - A detailed description of the product.,8.91,384,Home Essentials
160,Imported Body Wash,SKU-0160,1001001000160,Imported Body Wash - A detailed description of the product.,23.48,499,Home Essentials
161,Eco-friendly Laptop Sleeve,SKU-0161,1001001000161,Eco-friendly Laptop Sleeve - A detailed description of the product.,36.71,214,Clothing
162,High-Quality Washing Powder,SKU-0162,1001001000162,High-Quality Washing Powder - A detailed description of the product.,43.05,72,Furniture
163,Large Smartphone Charger,SKU-0163,1001001000163,Large Smartphone Charger - A detailed description of the product.,18.2,417,Clothing
164,Large Orange Juice,SKU-0164,1001001000164,Large Orange Juice - A detailed description of the product.,19.8,471,Furniture
165,Large Cereal,SKU-0165,1001001000165,Large Cereal - A detailed description of the product.,48.52,441,Electronics
166,Budget Kitchen Towel,SKU-0166,1001001000166,Budget Kitchen Towel - A detailed description of the product.,33.18,299,Groceries
167,Imported Energy Drink,SKU-0167,1001001000167,Imported Energy Drink - A detailed description of the product.,48.85,293,Electronics
168,Organic Laptop Sleeve,SKU-0168,1001001000168,Organic Laptop Sleeve - A detailed description of the product.,36.7,286,Groceries
169,Small Water Bottle,SKU-0169,1001001000169,Small Water Bottle - A detailed description of the product.,15.37,313,Home Essentials
170,Small Toy Car,SKU-0170,1001001000170,Small Toy Car - A detailed description of the product.,39.79,162,Personal Care
171,Imported Pack of Pens,SKU-0171,1001001000171,Imported Pack of Pens - A detailed description of the product.,13.8,349,Home Essentials
172,Imported Bread,SKU-0172,1001001000172,Imported Bread - A detailed description of the product.,19.65,344,Home Essentials
173,Organic Cereal,SKU-0173,1001001000173,Organic Cereal - A detailed description of the product.,48.76,250,Groceries
174,High-Quality Toy Car,SKU-0174,1001001000174,High-Quality Toy Car - A detailed description of the product.,36.52,401,Stationery
175,Budget Floor Cleaner,SKU-0175,1001001000175,Budget Floor Cleaner - A detailed description of the product.,36.15,182,Groceries
176,High-Quality Notebook,SKU-0176,1001001000176,High-Quality Notebook - A detailed description of the product.,27.05,12,Electronics
177,Small Coffee Powder,SKU-0177,1001001000177,Small Coffee Powder - A detailed description of the product.,19.82,250,Home Essentials
178,Premium Pack of Pens,SKU-0178,1001001000178,Premium Pack of Pens - A detailed description of the product.,45.25,132,Home Essentials
179,Premium Coffee Powder,SKU-0179,1001001000179,Premium Coffee Powder - A detailed description of the product.,43.6,471,Home Essentials
180,Small Toy Car,SKU-0180,1001001000180,Small Toy Car - A detailed description of the product.,42.24,314,Personal Care
181,Budget LED Bulb,SKU-0181,1001001000181,Budget LED Bulb - A detailed description of the product.,17.74,391,Beverages
182,Premium Air Freshener,SKU-0182,1001001000182,Premium Air Freshener - A detailed description of the product.,20.09,222,Clothing
183,Premium Hair Dryer,SKU-0183,1001001000183,Premium Hair Dryer - A detailed description of the product.,8.76,472,Electronics
184,Large Laptop Sleeve,SKU-0184,1001001000184,Large Laptop Sleeve - A detailed description of the product.,49.73,204,Furniture
185,Imported Bread,SKU-0185,1001001000185,Imported Bread - A detailed description of the product.,48.11,104,Stationery
186,Premium Cereal,SKU-0186,1001001000186,Premium Cereal - A detailed description of the product.,46.97,217,Toys
187,Imported Rice,SKU-0187,1001001000187,Imported Rice - A detailed description of the product.,25.39,487,Groceries
188,Imported Kitchen Towel,SKU-0188,1001001000188,Imported Kitchen Towel - A detailed description of the product.,12.4,377,Home Essentials
189,Organic Energy Drink,SKU-0189,1001001000189,Organic Energy Drink - A detailed description of the product.,40.06,385,Electronics
190,Eco-friendly Coffee Powder,SKU-0190,1001001000190,Eco-friendly Coffee Powder - A detailed description of the product.,23.41,98,Stationery
191,Small Hair Dryer,SKU-0191,1001001000191,Small Hair Dryer - A detailed description of the product.,49.78,411,Toys
192,Small Cereal,SKU-0192,1001001000192,Small Cereal - A detailed description of the product.,8.0,352,Personal Care
193,Premium LED Bulb,SKU-0193,1001001000193,Premium LED Bulb - A detailed description of the product.,28.47,17,Personal Care
194,Imported Butter,SKU-0194,1001001000194,Imported Butter - A detailed description of the product.,18.97,138,Furniture
195,Budget Body Wash,SKU-0195,1001001000195,Budget Body Wash - A detailed description of the product.,21.8,128,Toys
196,Premium Smartphone Charger,SKU-0196,1001001000196,Premium Smartphone Charger - A detailed description of the product.,16.68,201,Personal Care
197,Budget Rice,SKU-0197,1001001000197,Budget Rice - A detailed description of the product.,46.11,175,Clothing
198,Premium Water Bottle,SKU-0198,1001001000198,Premium Water Bottle - A detailed description of the product.,12.6,211,Personal Care
199,Organic Desk Lamp,SKU-0199,1001001000199,Organic Desk Lamp - A detailed description of the product.,27.16,318,Electronics
200,Budget Hair Dryer,SKU-0200,1001001000200,Budget Hair Dryer - A detailed description of the product.,45.88,317,Toys
201,Large Butter,SKU-0201,1001001000201,Large Butter - A detailed description of the product.,26.97,42,Furniture
202,High-Quality Sugar,SKU-0202,1001001000202,High-Quality Sugar - A detailed description of the product.,5.01,241,Clothing
203,Small Smartphone Charger,SKU-0203,1001001000203,Small Smartphone Charger - A detailed description of the product.,13.65,342,Toys
204,Small Coffee Powder,SKU-0204,1001001000204,Small Coffee Powder - A detailed description of the product.,24.46,306,Electronics
205,Large Office Chair,SKU-0205,1001001000205,Large Office Chair - A detailed description of the product.,2.93,459,Clothing
206,Budget Coffee Powder,SKU-0206,1001001000206,Budget Coffee Powder - A detailed description of the product.,8.28,422,Beverages
207,Small Water Bottle,SKU-0207,1001001000207,Small Water Bottle - A detailed description of the product.,18.74,356,Electronics
208,Small Batteries,SKU-0208,1001001000208,Small Batteries - A detailed description of the product.,25.14,118,Toys
209,Large Notebook,SKU-0209,1001001000209,Large Notebook - A detailed description of the product.,9.76,463,Groceries
210,Budget Cereal,SKU-0210,1001001000210,Budget Cereal - A detailed description of the product.,35.06,384,Groceries
211,Large Pack of Pens,SKU-0211,1001001000211,Large Pack of Pens - A detailed description of the product.,27.94,26,Groceries
212,Small Office Chair,SKU-0212,1001001000212,Small Office Chair - A detailed description of the product.,1.46,194,Stationery
213,Imported Hair Dryer,SKU-0213,1001001000213,Imported Hair Dryer - A detailed description of the product.,26.19,447,Home Essentials
214,High-Quality Butter,SKU-0214,1001001000214,High-Quality Butter - A detailed description of the product.,41.99,440,Electronics
215,Budget Coffee Powder,SKU-0215,1001001000215,Budget Coffee Powder - A detailed description of the product.,40.92,496,Beverages
216,Imported Hair Dryer,SKU-0216,1001001000216,Imported Hair Dryer - A detailed description of the product.,20.25,311,Home Essentials
217,Organic LED Bulb,SKU-0217,1001001000217,Organic LED Bulb - A detailed description of the product.,15.94,307,Beverages
218,Organic LED Bulb,SKU-0218,1001001000218,Organic LED Bulb - A detailed description of the product.,17.41,139,Home Essentials
219,Organic Desk Lamp,SKU-0219,1001001000219,Organic Desk Lamp - A detailed description of the product.,6.3,339,Beverages
220,Organic Butter,SKU-0220,1001001000220,Organic Butter - A detailed description of the product.,49.12,236,Personal Care
221,Eco-friendly Notebook,SKU-0221,1001001000221,Eco-friendly Notebook - A detailed description of the product.,23.49,96,Beverages
222,Imported Office Chair,SKU-0222,1001001000222,Imported Office Chair - A detailed description of the product.,21.25,254,Clothing
223,High-Quality Chocolate Bar,SKU-0223,1001001000223,High-Quality Chocolate Bar - A detailed description of the product.,23.61,201,Groceries
224,Imported Cola,SKU-0224,1001001000224,Imported Cola - A detailed description of the product.,45.64,145,Personal Care
225,High-Quality Batteries,SKU-0225,1001001000225,High-Quality Batteries - A detailed description of the product.,3.14,267,Electronics
226,Large Milk,SKU-0226,1001001000226,Large Milk - A detailed description of the product.,20.07,323,Groceries
227,Small Coffee Powder,SKU-0227,1001001000227,Small Coffee Powder - A detailed description of the product.,2.27,23,Clothing
228,High-Quality Laptop Sleeve,SKU-0228,1001001000228,High-Quality Laptop Sleeve - A detailed description of the product.,34.38,290,Electronics
229,Organic Smartphone Charger,SKU-0229,1001001000229,Organic Smartphone Charger - A detailed description of the product.,13.0,286,Home Essentials
230,Eco-friendly Laptop Sleeve,SKU-0230,1001001000230,Eco-friendly Laptop Sleeve - A detailed description of the product.,32.18,296,Toys
231,Budget Hair Dryer,SKU-0231,1001001000231,Budget Hair Dryer - A detailed description of the product.,31.48,172,Beverages
232,Premium Pack of Pens,SKU-0232,1001001000232,Premium Pack of Pens - A detailed description of the product.,49.2,235,Electronics
233,Budget Desk Lamp,SKU-0233,1001001000233,Budget Desk Lamp - A detailed description of the product.,44.75,50,Electronics
234,Imported Floor Cleaner,SKU-0234,1001001000234,Imported Floor Cleaner - A detailed description of the product.,40.56,42,Furniture
235,Eco-friendly Coffee Powder,SKU-0235,1001001000235,Eco-friendly Coffee Powder - A detailed description of the product.,45.85,84,Clothing
236,High-Quality Cola,SKU-0236,1001001000236,High-Quality Cola - A detailed description of the product.,35.24,416,Beverages
237,Budget LED Bulb,SKU-0237,1001001000237,Budget LED Bulb - A detailed description of the product.,26.06,128,Furniture
238,Budget Pack of Pens,SKU-0238,1001001000238,Budget Pack of Pens - A detailed description of the product.,49.79,463,Beverages
239,Eco-friendly LED Bulb,SKU-0239,1001001000239,Eco-friendly LED Bulb - A detailed description of the product.,5.61,178,Electronics
240,Small Shampoo,SKU-0240,1001001000240,Small Shampoo - A detailed description of the product.,48.38,478,Electronics
241,Premium Floor Cleaner,SKU-0241,1001001000241,Premium Floor Cleaner - A detailed description of the product.,13.12,123,Home Essentials
242,Premium USB Cable,SKU-0242,1001001000242,Premium USB Cable - A detailed description of the product.,34.38,291,Furniture
243,Small Laptop Sleeve,SKU-0243,1001001000243,Small Laptop Sleeve - A detailed description of the product.,41.09,465,Electronics
244,Small Chocolate Bar,SKU-0244,1001001000244,Small Chocolate Bar - A detailed description of the product.,34.34,193,Clothing
245,Premium Kitchen Towel,SKU-0245,1001001000245,Premium Kitchen Towel - A detailed description of the product.,17.23,203,Electronics
246,Eco-friendly Chocolate Bar,SKU-0246,1001001000246,Eco-friendly Chocolate Bar - A detailed description of the product.,16.13,427,Stationery
247,Imported Rice,SKU-0247,1001001000247,Imported Rice - A detailed description of the product.,17.57,480,Clothing
